Trend,Sentiment,Last Seen
#LongDragon,0.4256206293706294,2024-05-29 00:20:52.122492
Angela Rayner,-0.0113596543630231,2024-05-31 17:07:58.365834
Rafah,0.0635488431251907,2024-05-29 00:20:52.102558
Farage,0.18946475461227374,2024-06-03 15:08:34.280721
#BritainsGotTalent,0.2880528664044288,2024-06-01 04:19:32.666414
Diane Abbott,-0.1694045579798597,2024-06-01 04:19:32.674388
National Service,-0.1829885928199404,2024-05-30 09:41:31.244222
#SewingBee,0.4374565104166666,2024-05-29 00:20:52.115516
Tories,-0.1098609812219158,2024-05-29 00:20:52.119496
Werner,0.2276377250386332,2024-05-29 00:20:52.124500
Dan Hodges,-0.0916283745734245,2024-05-31 17:07:58.402595
Tory,-0.0436408928206699,2024-05-29 00:20:52.127488
$MVP,0.3302388131313131,2024-05-29 00:20:52.130458
Israel,-0.3958097337694091,2024-05-29 00:20:52.136451
De Niro,0.0682390496129541,2024-05-31 17:07:58.411626
Maresca,0.503348572583016,2024-05-29 00:20:52.141440
Clive,0.2372554576673326,2024-05-29 00:20:52.148405
#GagCityLondon,0.3341449743071056,2024-05-29 00:20:52.143417
#Springwatch,0.3349338888888888,2024-05-29 06:20:52.924933
Ravi,0.0979319444444443,2024-05-29 00:20:52.161359
Leicester,0.3628726645750083,2024-05-29 00:20:52.155313
Gooseberries,0.3852962521701388,2024-05-29 00:20:52.151397
Frozen,0.1361222727272727,2024-05-31 22:31:22.931100
Hamas,-0.6294814304946738,2024-05-29 00:20:52.158370
Kuenssberg,0.0785580128205128,2024-05-29 00:20:52.164356
Jack Rhodes,0.1880523809523809,2024-05-28 22:46:58.788193
Iain Dale,0.2648420833333333,2024-05-29 07:20:52.472485
Mel Stride,0.1398489093137255,2024-05-29 00:20:52.170327
Reform,0.3278582031249999,2024-06-03 15:08:34.289612
Haribow,0.3751166666666667,2024-05-28 22:46:58.801147
#Newsnight,-0.2181966666666666,2024-05-29 00:20:52.133452
Channel 4,0.1171300997625612,2024-05-29 00:20:52.146405
Jurgen,0.1540082692307691,2024-05-29 00:20:52.175310
Blitzers,0.0478143589743589,2024-05-29 00:20:52.166343
